户号,日期,时间,预测值
A1,2018/8/1,0:00,12737.46028
A1,2018/8/2,0:00,12760.6193
A1,2018/8/3,0:00,12783.77832
A1,2018/8/4,0:00,12806.93734
A1,2018/8/5,0:00,12830.09636
A1,2018/8/6,0:00,12853.25537
A1,2018/8/7,0:00,12876.41439
A1,2018/8/8,0:00,12899.57341
A1,2018/8/9,0:00,12922.73243
A1,2018/8/10,0:00,12945.89145
A1,2018/8/11,0:00,12969.05047
A1,2018/8/12,0:00,12992.20949
A1,2018/8/13,0:00,13015.3685
A1,2018/8/14,0:00,13038.52752
A1,2018/8/15,0:00,13061.68654
A1,2018/8/16,0:00,13084.84556
A1,2018/8/17,0:00,13108.00458
A1,2018/8/18,0:00,13131.1636
A1,2018/8/19,0:00,13154.32262
A1,2018/8/20,0:00,13177.48164
A1,2018/8/21,0:00,13200.64065
A1,2018/8/22,0:00,13223.79967
A1,2018/8/23,0:00,13246.95869
A1,2018/8/24,0:00,13270.11771
A1,2018/8/25,0:00,13293.27673
A1,2018/8/26,0:00,13316.43575
A1,2018/8/27,0:00,13339.59477
A1,2018/8/28,0:00,13362.75379
A1,2018/8/29,0:00,13385.9128
A1,2018/8/30,0:00,13409.07182
A1,2018/8/31,0:00,13432.23084
A1,2018/9/1,0:00,13455.38986
A1,2018/9/2,0:00,13478.54888
A1,2018/9/3,0:00,13501.7079
A1,2018/9/4,0:00,13524.86692
A1,2018/9/5,0:00,13548.02593
A1,2018/9/6,0:00,13571.18495
A1,2018/9/7,0:00,13594.34397
A1,2018/9/8,0:00,13617.50299
A1,2018/9/9,0:00,13640.66201
A1,2018/9/10,0:00,13663.82103
A1,2018/9/11,0:00,13686.98005
A1,2018/9/12,0:00,13710.13907
A1,2018/9/13,0:00,13733.29808
A1,2018/9/14,0:00,13756.4571
A1,2018/9/15,0:00,13779.61612
A1,2018/9/16,0:00,13802.77514
A1,2018/9/17,0:00,13825.93416
A1,2018/9/18,0:00,13849.09318
A1,2018/9/19,0:00,13872.2522
A1,2018/9/20,0:00,13895.41121
A1,2018/9/21,0:00,13918.57023
A1,2018/9/22,0:00,13941.72925
A1,2018/9/23,0:00,13964.88827
A1,2018/9/24,0:00,13988.04729
A1,2018/9/25,0:00,14011.20631
A1,2018/9/26,0:00,14034.36533
A1,2018/9/27,0:00,14057.52435
A1,2018/9/28,0:00,14080.68336
A1,2018/9/29,0:00,14103.84238
A1,2018/9/30,0:00,14127.0014
A2,2018/8/1,0:00,13227.87266
A2,2018/8/2,0:00,13251.92334
A2,2018/8/3,0:00,13275.97402
A2,2018/8/4,0:00,13300.0247
A2,2018/8/5,0:00,13324.07537
A2,2018/8/6,0:00,13348.12605
A2,2018/8/7,0:00,13372.17673
A2,2018/8/8,0:00,13396.22741
A2,2018/8/9,0:00,13420.27808
A2,2018/8/10,0:00,13444.32876
A2,2018/8/11,0:00,13468.37944
A2,2018/8/12,0:00,13492.43012
A2,2018/8/13,0:00,13516.48079
A2,2018/8/14,0:00,13540.53147
A2,2018/8/15,0:00,13564.58215
A2,2018/8/16,0:00,13588.63283
A2,2018/8/17,0:00,13612.6835
A2,2018/8/18,0:00,13636.73418
A2,2018/8/19,0:00,13660.78486
A2,2018/8/20,0:00,13684.83554
A2,2018/8/21,0:00,13708.88621
A2,2018/8/22,0:00,13732.93689
A2,2018/8/23,0:00,13756.98757
A2,2018/8/24,0:00,13781.03825
A2,2018/8/25,0:00,13805.08893
A2,2018/8/26,0:00,13829.1396
A2,2018/8/27,0:00,13853.19028
A2,2018/8/28,0:00,13877.24096
A2,2018/8/29,0:00,13901.29164
A2,2018/8/30,0:00,13925.34231
A2,2018/8/31,0:00,13949.39299
A2,2018/9/1,0:00,13973.44367
A2,2018/9/2,0:00,13997.49435
A2,2018/9/3,0:00,14021.54502
A2,2018/9/4,0:00,14045.5957
A2,2018/9/5,0:00,14069.64638
A2,2018/9/6,0:00,14093.69706
A2,2018/9/7,0:00,14117.74773
A2,2018/9/8,0:00,14141.79841
A2,2018/9/9,0:00,14165.84909
A2,2018/9/10,0:00,14189.89977
A2,2018/9/11,0:00,14213.95044
A2,2018/9/12,0:00,14238.00112
A2,2018/9/13,0:00,14262.0518
A2,2018/9/14,0:00,14286.10248
A2,2018/9/15,0:00,14310.15315
A2,2018/9/16,0:00,14334.20383
A2,2018/9/17,0:00,14358.25451
A2,2018/9/18,0:00,14382.30519
A2,2018/9/19,0:00,14406.35586
A2,2018/9/20,0:00,14430.40654
A2,2018/9/21,0:00,14454.45722
A2,2018/9/22,0:00,14478.5079
A2,2018/9/23,0:00,14502.55857
A2,2018/9/24,0:00,14526.60925
A2,2018/9/25,0:00,14550.65993
A2,2018/9/26,0:00,14574.71061
A2,2018/9/27,0:00,14598.76129
A2,2018/9/28,0:00,14622.81196
A2,2018/9/29,0:00,14646.86264
A2,2018/9/30,0:00,14670.91332
A3,2018/8/1,0:00,2165.509346
A3,2018/8/2,0:00,2169.446636
A3,2018/8/3,0:00,2173.383925
A3,2018/8/4,0:00,2177.321215
A3,2018/8/5,0:00,2181.258505
A3,2018/8/6,0:00,2185.195794
A3,2018/8/7,0:00,2189.133084
A3,2018/8/8,0:00,2193.070374
A3,2018/8/9,0:00,2197.007664
A3,2018/8/10,0:00,2200.944953
A3,2018/8/11,0:00,2204.882243
A3,2018/8/12,0:00,2208.819533
A3,2018/8/13,0:00,2212.756822
A3,2018/8/14,0:00,2216.694112
A3,2018/8/15,0:00,2220.631402
A3,2018/8/16,0:00,2224.568692
A3,2018/8/17,0:00,2228.505981
A3,2018/8/18,0:00,2232.443271
A3,2018/8/19,0:00,2236.380561
A3,2018/8/20,0:00,2240.31785
A3,2018/8/21,0:00,2244.25514
A3,2018/8/22,0:00,2248.19243
A3,2018/8/23,0:00,2252.12972
A3,2018/8/24,0:00,2256.067009
A3,2018/8/25,0:00,2260.004299
A3,2018/8/26,0:00,2263.941589
A3,2018/8/27,0:00,2267.878879
A3,2018/8/28,0:00,2271.816168
A3,2018/8/29,0:00,2275.753458
A3,2018/8/30,0:00,2279.690748
A3,2018/8/31,0:00,2283.628037
A3,2018/9/1,0:00,2287.565327
A3,2018/9/2,0:00,2291.502617
A3,2018/9/3,0:00,2295.439907
A3,2018/9/4,0:00,2299.377196
A3,2018/9/5,0:00,2303.314486
A3,2018/9/6,0:00,2307.251776
A3,2018/9/7,0:00,2311.189065
A3,2018/9/8,0:00,2315.126355
A3,2018/9/9,0:00,2319.063645
A3,2018/9/10,0:00,2323.000935
A3,2018/9/11,0:00,2326.938224
A3,2018/9/12,0:00,2330.875514
A3,2018/9/13,0:00,2334.812804
A3,2018/9/14,0:00,2338.750093
A3,2018/9/15,0:00,2342.687383
A3,2018/9/16,0:00,2346.624673
A3,2018/9/17,0:00,2350.561963
A3,2018/9/18,0:00,2354.499252
A3,2018/9/19,0:00,2358.436542
A3,2018/9/20,0:00,2362.373832
A3,2018/9/21,0:00,2366.311121
A3,2018/9/22,0:00,2370.248411
A3,2018/9/23,0:00,2374.185701
A3,2018/9/24,0:00,2378.122991
A3,2018/9/25,0:00,2382.06028
A3,2018/9/26,0:00,2385.99757
A3,2018/9/27,0:00,2389.93486
A3,2018/9/28,0:00,2393.87215
A3,2018/9/29,0:00,2397.809439
A3,2018/9/30,0:00,2401.746729
A4,2018/8/1,0:00,8833.53972
