户号,日期,时间,预测值
A1,2018-08-01,0:00,9909.644817409784
A1,2018-08-02,0:00,9921.33658938174
A1,2018-08-03,0:00,9932.71072419366
A1,2018-08-04,0:00,9943.171445088292
A1,2018-08-05,0:00,9954.833987627542
A1,2018-08-06,0:00,9965.548501353109
A1,2018-08-07,0:00,9976.975224472779
A1,2018-08-08,0:00,9987.60083326293
A1,2018-08-09,0:00,9999.078162910762
A1,2018-08-10,0:00,10009.278278067497
A1,2018-08-11,0:00,10019.99629847885
A1,2018-08-12,0:00,10029.685553149857
A1,2018-08-13,0:00,10040.149673849264
A1,2018-08-14,0:00,10051.94886905933
A1,2018-08-15,0:00,10063.57110886167
A1,2018-08-16,0:00,10074.124233165274
A1,2018-08-17,0:00,10085.701700587404
A1,2018-08-18,0:00,10096.617087268682
A1,2018-08-19,0:00,10108.346088544224
A1,2018-08-20,0:00,10119.324677126257
A1,2018-08-21,0:00,10130.144027686309
A1,2018-08-22,0:00,10140.50420595568
A1,2018-08-23,0:00,10151.555022172886
A1,2018-08-24,0:00,10161.629550371355
A1,2018-08-25,0:00,10171.806794153083
A1,2018-08-26,0:00,10183.334767606471
A1,2018-08-27,0:00,10194.96396409742
A1,2018-08-28,0:00,10206.02598099166
A1,2018-08-29,0:00,10217.81174610926
A1,2018-08-30,0:00,10228.9539737726
A1,2018-08-31,0:00,10240.465252307673
A1,2018-09-01,0:00,10251.229906357024
A1,2018-09-02,0:00,10262.476186257276
A1,2018-09-03,0:00,10272.608552496868
A1,2018-09-04,0:00,10283.416032525796
A1,2018-09-05,0:00,10293.127688411143
A1,2018-09-06,0:00,10303.590424225238
A1,2018-09-07,0:00,10315.424076163124
A1,2018-09-08,0:00,10327.144302621036
A1,2018-09-09,0:00,10337.880703954956
A1,2018-09-10,0:00,10349.570970995228
A1,2018-09-11,0:00,10360.623204147456
A1,2018-09-12,0:00,10372.410891682304
A1,2018-09-13,0:00,10383.452526617846
A1,2018-09-14,0:00,10394.385643790778
A1,2018-09-15,0:00,10404.792381602083
A1,2018-09-16,0:00,10415.89914873476
A1,2018-09-17,0:00,10426.010418043425
A1,2018-09-18,0:00,10436.30083620602
A1,2018-09-19,0:00,10447.946984449103
A1,2018-09-20,0:00,10459.673038687428
A1,2018-09-21,0:00,10470.787811619677
A1,2018-09-22,0:00,10482.649016340883
A1,2018-09-23,0:00,10493.869069554876
A1,2018-09-24,0:00,10505.49673125646
A1,2018-09-25,0:00,10516.378149744865
A1,2018-09-26,0:00,10527.673706786029
A1,2018-09-27,0:00,10537.921341909085
A1,2018-09-28,0:00,10548.847766290066
A1,2018-09-29,0:00,10558.689081131859
A1,2018-09-30,0:00,10569.218025527864
A2,2018-08-01,0:00,10292.31976825635
A2,2018-08-02,0:00,10307.980613673091
A2,2018-08-03,0:00,10321.929009220486
A2,2018-08-04,0:00,10335.46024567978
A2,2018-08-05,0:00,10349.128451646757
A2,2018-08-06,0:00,10362.222990887209
A2,2018-08-07,0:00,10375.954997057635
A2,2018-08-08,0:00,10388.811694858265
A2,2018-08-09,0:00,10403.477376726978
A2,2018-08-10,0:00,10416.10351328563
A2,2018-08-11,0:00,10428.727224510627
A2,2018-08-12,0:00,10441.517454359022
A2,2018-08-13,0:00,10455.409460648174
A2,2018-08-14,0:00,10470.547358290345
A2,2018-08-15,0:00,10484.527891547212
A2,2018-08-16,0:00,10498.6655898357
A2,2018-08-17,0:00,10512.373591753101
A2,2018-08-18,0:00,10525.888456854322
A2,2018-08-19,0:00,10539.610046556529
A2,2018-08-20,0:00,10552.480728925078
A2,2018-08-21,0:00,10567.01675655908
A2,2018-08-22,0:00,10579.585723096692
A2,2018-08-23,0:00,10592.247886802701
A2,2018-08-24,0:00,10604.97124410771
A2,2018-08-25,0:00,10618.866249984469
A2,2018-08-26,0:00,10634.047708498369
A2,2018-08-27,0:00,10648.087803117329
A2,2018-08-28,0:00,10662.29062596484
A2,2018-08-29,0:00,10676.065577404095
A2,2018-08-30,0:00,10689.647972586426
A2,2018-08-31,0:00,10703.437273879164
A2,2018-09-01,0:00,10716.375724010904
A2,2018-09-02,0:00,10730.979536686127
A2,2018-09-03,0:00,10743.616293559753
A2,2018-09-04,0:00,10756.346249220638
A2,2018-09-05,0:00,10769.137398974803
A2,2018-09-06,0:00,10783.100197451497
A2,2018-09-07,0:00,10798.349448611303
A2,2018-09-08,0:00,10812.45733589018
A2,2018-09-09,0:00,10826.727951401876
A2,2018-09-10,0:00,10840.570695506618
A2,2018-09-11,0:00,10854.220883354834
A2,2018-09-12,0:00,10868.077977313571
A2,2018-09-13,0:00,10881.084220111356
A2,2018-09-14,0:00,10895.755825452632
A2,2018-09-15,0:00,10908.460374992312
A2,2018-09-16,0:00,10921.258123319254
A2,2018-09-17,0:00,10934.117065739476
A2,2018-09-18,0:00,10948.147656882224
A2,2018-09-19,0:00,10963.464700708091
A2,2018-09-20,0:00,10977.640380653023
A2,2018-09-21,0:00,10991.978788830778
A2,2018-09-22,0:00,11005.889325601576
A2,2018-09-23,0:00,11019.60730611585
A2,2018-09-24,0:00,11033.532192740648
A2,2018-09-25,0:00,11046.606228204488
A2,2018-09-26,0:00,11061.345626211823
A2,2018-09-27,0:00,11074.11796841756
A2,2018-09-28,0:00,11086.983509410562
A2,2018-09-29,0:00,11099.910244496841
A2,2018-09-30,0:00,11114.008628305646
A3,2018-08-01,0:00,1684.9408874273654
A3,2018-08-02,0:00,1688.048744587275
A3,2018-08-03,0:00,1690.8548145443851
A3,2018-08-04,0:00,1693.5021442866669
A3,2018-08-05,0:00,1696.4207981857764
