户号,日期,时间,预测值
A1,2018/8/1,0:00,9769.09
A1,2018/8/2,0:00,9776.25
A1,2018/8/3,0:00,9783.42
A1,2018/8/4,0:00,9790.58
A1,2018/8/5,0:00,9797.74
A1,2018/8/6,0:00,9804.9
A1,2018/8/7,0:00,9812.07
A1,2018/8/8,0:00,9819.23
A1,2018/8/9,0:00,9826.39
A1,2018/8/10,0:00,9833.55
A1,2018/8/11,0:00,9840.72
A1,2018/8/12,0:00,9847.88
A1,2018/8/13,0:00,9855.04
A1,2018/8/14,0:00,9862.2
A1,2018/8/15,0:00,9869.37
A1,2018/8/16,0:00,9876.53
A1,2018/8/17,0:00,9883.69
A1,2018/8/18,0:00,9890.85
A1,2018/8/19,0:00,9898.02
A1,2018/8/20,0:00,9905.18
A1,2018/8/21,0:00,9912.34
A1,2018/8/22,0:00,9919.5
A1,2018/8/23,0:00,9926.67
A1,2018/8/24,0:00,9933.83
A1,2018/8/25,0:00,9940.99
A1,2018/8/26,0:00,9948.15
A1,2018/8/27,0:00,9955.32
A1,2018/8/28,0:00,9962.48
A1,2018/8/29,0:00,9969.64
A1,2018/8/30,0:00,9976.8
A1,2018/8/31,0:00,9983.97
A1,2018/9/1,0:00,9991.13
A1,2018/9/2,0:00,9998.29
A1,2018/9/3,0:00,10005.45
A1,2018/9/4,0:00,10012.62
A1,2018/9/5,0:00,10019.78
A1,2018/9/6,0:00,10026.94
A1,2018/9/7,0:00,10034.1
A1,2018/9/8,0:00,10041.27
A1,2018/9/9,0:00,10048.43
A1,2018/9/10,0:00,10055.59
A1,2018/9/11,0:00,10062.75
A1,2018/9/12,0:00,10069.92
A1,2018/9/13,0:00,10077.08
A1,2018/9/14,0:00,10084.24
A1,2018/9/15,0:00,10091.4
A1,2018/9/16,0:00,10098.57
A1,2018/9/17,0:00,10105.73
A1,2018/9/18,0:00,10112.89
A1,2018/9/19,0:00,10120.05
A1,2018/9/20,0:00,10127.22
A1,2018/9/21,0:00,10134.38
A1,2018/9/22,0:00,10141.54
A1,2018/9/23,0:00,10148.71
A1,2018/9/24,0:00,10155.87
A1,2018/9/25,0:00,10163.03
A1,2018/9/26,0:00,10170.19
A1,2018/9/27,0:00,10177.36
A1,2018/9/28,0:00,10184.52
A1,2018/9/29,0:00,10191.68
A1,2018/9/30,0:00,10198.84
A2,2018/8/1,0:00,10146.43
A2,2018/8/2,0:00,10156.06
A2,2018/8/3,0:00,10165.69
A2,2018/8/4,0:00,10175.32
A2,2018/8/5,0:00,10184.95
A2,2018/8/6,0:00,10194.58
A2,2018/8/7,0:00,10204.21
A2,2018/8/8,0:00,10213.85
A2,2018/8/9,0:00,10223.48
A2,2018/8/10,0:00,10233.11
A2,2018/8/11,0:00,10242.74
A2,2018/8/12,0:00,10252.37
A2,2018/8/13,0:00,10262
A2,2018/8/14,0:00,10271.63
A2,2018/8/15,0:00,10281.26
A2,2018/8/16,0:00,10290.9
A2,2018/8/17,0:00,10300.53
A2,2018/8/18,0:00,10310.16
A2,2018/8/19,0:00,10319.79
A2,2018/8/20,0:00,10329.42
A2,2018/8/21,0:00,10339.05
A2,2018/8/22,0:00,10348.68
A2,2018/8/23,0:00,10358.31
A2,2018/8/24,0:00,10367.95
A2,2018/8/25,0:00,10377.58
A2,2018/8/26,0:00,10387.21
A2,2018/8/27,0:00,10396.84
A2,2018/8/28,0:00,10406.47
A2,2018/8/29,0:00,10416.1
A2,2018/8/30,0:00,10425.73
A2,2018/8/31,0:00,10435.36
A2,2018/9/1,0:00,10445
A2,2018/9/2,0:00,10454.63
A2,2018/9/3,0:00,10464.26
A2,2018/9/4,0:00,10473.89
A2,2018/9/5,0:00,10483.52
A2,2018/9/6,0:00,10493.15
A2,2018/9/7,0:00,10502.78
A2,2018/9/8,0:00,10512.41
A2,2018/9/9,0:00,10522.05
A2,2018/9/10,0:00,10531.68
A2,2018/9/11,0:00,10541.31
A2,2018/9/12,0:00,10550.94
A2,2018/9/13,0:00,10560.57
A2,2018/9/14,0:00,10570.2
A2,2018/9/15,0:00,10579.83
A2,2018/9/16,0:00,10589.46
A2,2018/9/17,0:00,10599.1
A2,2018/9/18,0:00,10608.73
A2,2018/9/19,0:00,10618.36
A2,2018/9/20,0:00,10627.99
A2,2018/9/21,0:00,10637.62
A2,2018/9/22,0:00,10647.25
A2,2018/9/23,0:00,10656.88
A2,2018/9/24,0:00,10666.51
A2,2018/9/25,0:00,10676.14
A2,2018/9/26,0:00,10685.78
A2,2018/9/27,0:00,10695.41
