户号,日期,时间,预测值
A1,2018/8/1,0:00,9908.715431
A1,2018/8/2,0:00,9918.305273
A1,2018/8/3,0:00,9926.399707
A1,2018/8/4,0:00,9937.620628
A1,2018/8/5,0:00,9948.841549
A1,2018/8/6,0:00,9960.466375
A1,2018/8/7,0:00,9972.091201
A1,2018/8/8,0:00,9983.716027
A1,2018/8/9,0:00,9994.936948
A1,2018/8/10,0:00,10006.15787
A1,2018/8/11,0:00,10016.10606
A1,2018/8/12,0:00,10025.23112
A1,2018/8/13,0:00,10034.82096
A1,2018/8/14,0:00,10044.89324
A1,2018/8/15,0:00,10054.48896
A1,2018/8/16,0:00,10063.48328
A1,2018/8/17,0:00,10071.57771
A1,2018/8/18,0:00,10081.46314
A1,2018/8/19,0:00,10092.83473
A1,2018/8/20,0:00,10102.90701
A1,2018/8/21,0:00,10112.61864
A1,2018/8/22,0:00,10122.20848
A1,2018/8/23,0:00,10131.79832
A1,2018/8/24,0:00,10141.38816
A1,2018/8/25,0:00,10147.99661
A1,2018/8/26,0:00,10154.67377
A1,2018/8/27,0:00,10163.5797
A1,2018/8/28,0:00,10172.80303
A1,2018/8/29,0:00,10182.02635
A1,2018/8/30,0:00,10191.37963
A1,2018/8/31,0:00,10200.28556
A1,2018/9/1,0:00,10209.50889
A1,2018/9/2,0:00,10218.73222
A1,2018/9/3,0:00,10227.93778
A1,2018/9/4,0:00,10239.58693
A1,2018/9/5,0:00,10249.31014
A1,2018/9/6,0:00,10258.90166
A1,2018/9/7,0:00,10265.3969
A1,2018/9/8,0:00,10272.88943
A1,2018/9/9,0:00,10281.23061
A1,2018/9/10,0:00,10289.36726
A1,2018/9/11,0:00,10295.8625
A1,2018/9/12,0:00,10303.39807
A1,2018/9/13,0:00,10310.81964
A1,2018/9/14,0:00,10319.25751
A1,2018/9/15,0:00,10328.28343
A1,2018/9/16,0:00,10336.5512
A1,2018/9/17,0:00,10344.81897
A1,2018/9/18,0:00,10353.41225
A1,2018/9/19,0:00,10362.61781
A1,2018/9/20,0:00,10371.21109
A1,2018/9/21,0:00,10377.54225
A1,2018/9/22,0:00,10383.48505
A1,2018/9/23,0:00,10391.82623
A1,2018/9/24,0:00,10400.72555
A1,2018/9/25,0:00,10407.87567
A1,2018/9/26,0:00,10414.55828
A1,2018/9/27,0:00,10422.05081
A1,2018/9/28,0:00,10428.00943
A1,2018/9/29,0:00,10434.13094
A1,2018/9/30,0:00,10443.54922
A2,2018/8/1,0:00,10290.76471
A2,2018/8/2,0:00,10303.87073
A2,2018/8/3,0:00,10314.90414
A2,2018/8/4,0:00,10329.66614
A2,2018/8/5,0:00,10344.42814
A2,2018/8/6,0:00,10359.47524
A2,2018/8/7,0:00,10374.52235
A2,2018/8/8,0:00,10389.56946
A2,2018/8/9,0:00,10404.33146
A2,2018/8/10,0:00,10419.09345
A2,2018/8/11,0:00,10432.53404
A2,2018/8/12,0:00,10444.68356
A2,2018/8/13,0:00,10457.78958
